acc actual_error_adp2 evals_adp2 actual_error_adp3 evals_adp3
1.000000000000000e-01 1.687600331647943e-04 4 1.403374012165504e-04 3
1.000000000000000e-02 1.687600331647943e-04 4 1.403374012165504e-04 3
1.000000000000000e-03 2.584728461352270e-05 12 2.434274640750189e-06 9
1.000000000000000e-04 3.806855920496233e-07 28 3.026275452455707e-08 27
1.000000000000000e-05 2.501586549019663e-08 80 3.229386091874176e-08 63
1.000000000000000e-06 1.107470004590994e-09 188 1.221346712654281e-08 153
1.000000000000000e-07 3.405120629906833e-11 436 9.490808139389628e-11 411
1.000000000000000e-08 1.889155498702166e-12 1240 1.057154364048074e-12 759
1.000000000000000e-09 6.616929226765933e-14 2932 2.091660178393795e-13 2007
1.000000000000000e-10 2.431388423929093e-14 6876 2.664535259100376e-15 5739
9.999999999999999e-12 2.364775042451583e-14 19576 1.110223024625157e-16 15741
1.000000000000000e-12 0.000000000000000e+00 46716 0.000000000000000e+00 39249
1.000000000000000e-13 0.000000000000000e+00 109420 0.000000000000000e+00 104019
1.000000000000000e-14 0.000000000000000e+00 309624 0.000000000000000e+00 229179
1.000000000000000e-15 0.000000000000000e+00 744024 0.000000000000000e+00 492591
